player_grad_year,player_rivals_rank,player_espn_rank,player_first_name,player_last_name,player_position,player_school,player_state,player_height,player_weight,player_potential_schools
2019,113,NA,Casey,Morsell,G,St. John's College High,DC,6'2,170,List
2019,114,NA,Khyree,Temple,F,Phoebus,VAÿ,6'5,180,List
2019,115,NA,Kyle,Sturdivant,G,Norcross,GAÿ,6'1,170,List
2019,116,NA,Trae,Broadnax,G,Montverde Academy,FLÿ,6'3,165,List
2019,117,NA,Jon,Bol Ajak,C,The Church Farm School,PAÿ,6'10,200,List
2019,118,NA,Rashawn,Blakeney,F,St Maria Goretti,MDÿ,6'5,180,List
2019,119,NA,Bruce,Guy,F,Houston,TNÿ,6'6,0,List
2019,120,NA,Malcolm,Wilson,C,Ridge View,SCÿ,6'10,205,List
2019,121,NA,James,Bishop,G,Mt St Josephs,MDÿ,6'2,180,List
2019,122,NA,Dekeyvan,Tandy,G,University Heights,KY,6'1,170,List
2019,123,NA,Austin,Crowley,G,West Point,MSÿ,6'4,165,List
2019,124,NA,Isiaih,Mosley,G,Rock Bridge,MOÿ,6'4,180,List
2019,125,NA,Jahmius,Ramsey,G,Mansfield Summit,TXÿ,6'4,190,List
